Year;T;TM;Tm;PP;V;RA;SN;TS;FG;TN;GR
1959;-0,1;2,5;-2,7;;18,2;97;139;35;211;0;2
1973;-1,2;1,4;;;27;80;138;16;220;0;0
1974;;;;;;87;150;19;249;1;5
1986;-0,3;1,9;-2,7;;24,8;68;111;21;224;0;1
1987;-1,3;1;-3,8;1335,27;26,7;85;138;16;237;0;1
1988;-0,7;1,9;-3,3;1551,91;25,7;72;141;22;242;0;2
1989;0,3;3,1;-2,4;1588,86;25,4;95;122;29;245;0;5
1990;0;2,7;-2,5;1394,98;26,1;88;143;26;254;0;2
1991;-0,9;1,8;-3,2;2004,62;22,7;94;141;16;266;0;3
1992;-0,1;3;-2,8;1681,51;23,1;73;134;24;237;0;0
1993;-0,4;2,6;-3,1;1262,68;23;89;121;24;231;0;0
1994;0,5;3,3;-2,2;1647,52;23;77;139;22;244;0;1
1995;-0,5;2,2;-3;1683,58;22,4;72;155;29;249;0;1
1996;-1;1,8;-3,5;1859,58;20,8;100;142;31;237;0;1
1997;-0,7;2,1;-3,3;1987,1;22,1;83;141;28;261;1;3
1998;-0,4;2,5;-3;1883,93;24;103;137;20;237;0;0
1999;0,1;3,1;-2,8;1605,72;22,6;120;146;28;267;0;7
2000;0,8;4;-2,4;1656,08;23,7;125;141;35;257;0;6
2001;-0,5;2,4;-3,5;;23,3;125;161;26;278;0;7
2002;;;;;;120;128;44;248;0;3
2003;0,1;3,4;-3;1427,47;22,6;105;133;32;242;1;2
2004;-0,9;2;-3,5;1868,25;23,6;131;157;29;295;0;13
2006;0,5;3,4;-2,1;1352,49;22,8;80;118;18;237;0;5
2008;0,2;3,1;-2,2;1543,59;24,7;79;134;24;268;0;3
2009;0,1;3,2;-2,5;1736,69;22,8;87;137;33;238;0;2
2010;-0,7;2,1;-3,2;2156,85;23,7;107;137;24;262;1;1
2011;0,7;3,7;-2,1;1433,04;22,1;85;106;31;225;0;4
2012;0,2;3,3;-2,7;1403,53;23,8;128;132;37;239;0;8
2013;0,4;3,4;-2,5;1545,82;22,9;114;141;23;278;0;2
2014;1,4;4,1;-0,9;1943,82;23,2;148;115;36;283;0;10
2015;1,2;4,4;-1,6;1425,76;22,8;120;122;32;261;0;1
